sleep [s],requesting device [ms],load model [ms],inference [ms],end-to-end [ms]
6,2014.427184,1413.881659,1365.308333,5160.776075
6,8312.878327,1503.42805,1330.862217,11348.553077
0,7771.724764,1365.197856,1529.432699,10867.657116
2,206.502657,1623.755943,1474.883348,3503.784019
9,7742.01823,1501.984384,1383.895976,10829.422589
1,8746.288519,1367.407006,1336.775744,11654.802892
0,207.229627,1382.694095,1456.654379,3351.817318
1,1213.877019,1499.287696,1423.47032,4339.726742
1,5674.83688,1368.714285,1326.404858,8571.786711
3,24796.382304,1412.62744,1391.338859,27863.783669
9,4711.066129,1496.236037,1358.404913,7767.446015
8,192.873088,1366.660874,1310.696,3071.910466
3,541.40231,1397.752312,1545.502368,3684.242017
4,7867.403728,1471.630468,1361.43024,10902.093103
1,7105.833696,1384.702418,1538.285622,10233.10006
9,7565.527997,1381.5941,1458.570358,10604.814016
4,8302.869292,1539.005712,1337.112339,11477.436793
5,4783.834215,1372.287668,1335.38599,7804.483162
9,3473.481628,1389.641926,1392.69986,6539.436994
1,7935.873776,1475.922215,1399.487369,11104.653595
7,4922.872696,1368.186256,1372.190812,7864.554532
5,696.51864,1490.638612,1404.682366,3817.24514
2,8164.525375,1497.914625,1412.230914,11277.785318
6,7198.831842,1419.703291,1334.640908,10261.788231
3,14871.50961,1381.092617,1390.12185,17916.429017
5,8426.83032,1480.385719,1376.610535,11534.538214
6,4422.761255,1375.804863,1312.373758,7312.783155
7,4332.518216,1427.706444,1342.79936,7459.194642
9,8294.874217,1472.730365,1411.958035,11381.782069
5,4154.834175,1406.651459,1379.478123,7191.805016
9,4362.528882,1384.60151,1445.880348,7394.480471
0,6642.547601,1488.026568,1427.67952,9760.337721
6,5468.876777,1404.701317,1332.649173,8459.427646
7,5246.201327,1384.012607,1393.537361,8222.720116
8,7863.870296,1483.169711,1405.721073,10999.038486
7,6021.830742,1367.807424,1314.725924,8906.21012
7,3198.513917,1392.352974,1447.154318,6238.241937
4,9133.296805,1483.009595,1500.210039,12321.413579
10,2187.862098,1372.233318,1323.594511,5197.24936
4,656.425764,1404.585978,1392.563826,3838.184517
4,7942.879364,1485.81066,1402.072583,11032.759602
10,5613.873097,1381.66581,1373.741999,8649.663823
1,206.490688,1382.138603,1426.24188,3485.992773
9,8304.004483,1471.798034,1355.580086,11333.349054
10,5961.808463,1376.530847,1381.30469,9018.448761
3,5862.517239,1540.31611,1423.939344,9025.636054
0,9063.632374,1472.393024,1405.421073,12254.549694
8,5889.341825,1381.453408,1415.004294,8887.78315
5,1863.100846,1392.641647,1537.660386,4992.417446
7,8119.227232,1489.837856,1391.12722,11202.790591
7,6246.060172,1367.028032,1345.586561,9160.248523
8,6639.400518,1390.41093,1381.983854,9697.75039
6,9278.884129,1488.058692,1443.772911,12412.267007
4,5767.842095,1374.661869,1423.985619,8770.662477
2,206.502335,1568.992592,1412.661367,3387.077027
1,2550.85926,1615.182018,1413.587517,5891.210109
10,6392.830282,1400.672362,1343.745208,9455.365692
10,5695.601987,1404.815443,1404.389534,8766.774103
0,9678.152693,1485.333722,1432.175846,12801.458161
8,3097.868735,1367.605945,1474.736394,6142.253621
